segment_label,hour,current_speed,free_flow_speed,confidence
I-35_Central_Seg3,19,35.0,35.0,1.0
I-35_Central_Seg4,19,14.0,14.0,1.0
I-35_North_Seg1,19,66.0,67.0,1.0
I-35_North_Seg2,19,36.0,44.0,1.0
I-35_South_Seg5,19,103.0,103.0,1.0
I-35_South_Seg6,19,50.0,66.0,1.0
I-35_South_Seg7,19,89.0,89.0,1.0
